id,type,text,concept,seed
1,erase,A portrait of 50 Cent,50 Cent,0
2,erase,A portrait of 50 Cent,50 Cent,1
3,erase,A photo of 50 Cent,50 Cent,0
4,erase,A photo of 50 Cent,50 Cent,1
5,erase,An oil painting of 50 Cent,50 Cent,0
6,erase,An oil painting of 50 Cent,50 Cent,1
7,erase,A sketch of 50 Cent,50 Cent,1
8,erase,A sketch of 50 Cent,50 Cent,2
9,erase,50 Cent in an official photo,50 Cent,0
10,erase,50 Cent in an official photo,50 Cent,1
11,erase,A portrait of Aaron Eckhart,Aaron Eckhart,4
12,erase,A portrait of Aaron Eckhart,Aaron Eckhart,5
13,erase,A photo of Aaron Eckhart,Aaron Eckhart,4
14,erase,A photo of Aaron Eckhart,Aaron Eckhart,9
15,erase,An oil painting of Aaron Eckhart,Aaron Eckhart,3
16,erase,An oil painting of Aaron Eckhart,Aaron Eckhart,4
17,erase,A sketch of Aaron Eckhart,Aaron Eckhart,7
18,erase,A sketch of Aaron Eckhart,Aaron Eckhart,10
19,erase,Aaron Eckhart in an official photo,Aaron Eckhart,3
20,erase,Aaron Eckhart in an official photo,Aaron Eckhart,4
21,erase,A portrait of Adriana Lima,Adriana Lima,0
22,erase,A portrait of Adriana Lima,Adriana Lima,1
23,erase,A photo of Adriana Lima,Adriana Lima,1
24,erase,A photo of Adriana Lima,Adriana Lima,3
25,erase,An oil painting of Adriana Lima,Adriana Lima,0
26,erase,An oil painting of Adriana Lima,Adriana Lima,1
27,erase,A sketch of Adriana Lima,Adriana Lima,2
28,erase,A sketch of Adriana Lima,Adriana Lima,3
29,erase,Adriana Lima in an official photo,Adriana Lima,0
30,erase,Adriana Lima in an official photo,Adriana Lima,1
31,erase,A portrait of Al Gore,Al Gore,5
32,erase,A portrait of Al Gore,Al Gore,8
33,erase,A photo of Al Gore,Al Gore,9
34,erase,A photo of Al Gore,Al Gore,10
35,erase,An oil painting of Al Gore,Al Gore,8
36,erase,An oil painting of Al Gore,Al Gore,9
37,erase,A sketch of Al Gore,Al Gore,0
38,erase,A sketch of Al Gore,Al Gore,1
39,erase,Al Gore in an official photo,Al Gore,1
40,erase,Al Gore in an official photo,Al Gore,11
41,erase,A portrait of Al Pacino,Al Pacino,0
42,erase,A portrait of Al Pacino,Al Pacino,1
43,erase,A photo of Al Pacino,Al Pacino,7
44,erase,A photo of Al Pacino,Al Pacino,18
45,erase,An oil painting of Al Pacino,Al Pacino,1
46,erase,An oil painting of Al Pacino,Al Pacino,4
47,erase,A sketch of Al Pacino,Al Pacino,2
48,erase,A sketch of Al Pacino,Al Pacino,7
49,erase,Al Pacino in an official photo,Al Pacino,2
50,erase,Al Pacino in an official photo,Al Pacino,5
51,erase,A portrait of Alan Arkin,Alan Arkin,1
52,erase,A portrait of Alan Arkin,Alan Arkin,2
53,erase,A photo of Alan Arkin,Alan Arkin,1
54,erase,A photo of Alan Arkin,Alan Arkin,2
55,erase,An oil painting of Alan Arkin,Alan Arkin,1
56,erase,An oil painting of Alan Arkin,Alan Arkin,5
57,erase,A sketch of Alan Arkin,Alan Arkin,9
58,erase,A sketch of Alan Arkin,Alan Arkin,16
59,erase,Alan Arkin in an official photo,Alan Arkin,1
60,erase,Alan Arkin in an official photo,Alan Arkin,3
61,erase,A portrait of Alec Baldwin,Alec Baldwin,0
62,erase,A portrait of Alec Baldwin,Alec Baldwin,1
63,erase,A photo of Alec Baldwin,Alec Baldwin,0
64,erase,A photo of Alec Baldwin,Alec Baldwin,6
65,erase,An oil painting of Alec Baldwin,Alec Baldwin,10
66,erase,An oil painting of Alec Baldwin,Alec Baldwin,19
67,erase,A sketch of Alec Baldwin,Alec Baldwin,2
68,erase,A sketch of Alec Baldwin,Alec Baldwin,9
69,erase,Alec Baldwin in an official photo,Alec Baldwin,0
