id,concept
1,Crazy Frog
2,Easter Bunny
3,Kewpie
4,Miss Cleo
5,Mr. Clean
6,Pink Panther 
7,Agent Smith
8,Ernest P. Worrell
9,Advertising
10,Automobile
11,Felix the Cat
12,Michelin Man
13,Morpheus 
14,Big Boy Restaurants
15,Hello Kitty
16,Alfred E. Neuman
17,Skipper 
18,Strawberry Shortcake
19,Bozo the Clown
20,Bugs Bunny
21,Betty Crocker
22,Kermit the Frog
23,Mac Tonight
24,Mario
25,Ronald McDonald
26,Minions 
27,Mickey
28,Mr. Peanut
29,Pikachu
30,Pillsbury Doughboy
31,Scooby-Doo 
32,Sonic the Hedgehog 
33,Spirit of Ecstasy
34,SpongeBob
35,Wendy Thomas
36,Tinker Bell
37,Woody Woodpecker
38,Easter egg
39,Aunt Jemima
40,Barbie
41,Nancy Green
42,Playboy Bunny
43,Food
44,Chef Boyardee
45,Willy Wonka
46,Billy the Puppet
47,Donald Duck
48,Fred Flintstone
49,Ken 
50,Leo the Lion 
